product_id,fragrance_name,category,product_type,size_ml,price,cost,gross_margin,premium_score
1000,Midnight Oud,Fresh,Trial Pack,10,209,99,52.63,50
1001,Midnight Oud,Fresh,100ml Bottle,100,2812,532,81.08,84
1002,Urban Pulse,Aquatic,Trial Pack,10,246,85,65.45,51
1003,Urban Pulse,Aquatic,100ml Bottle,100,2827,682,75.88,88
1004,Velvet Ember,Fresh,Trial Pack,10,225,92,59.11,41
1005,Velvet Ember,Fresh,100ml Bottle,100,2373,677,71.47,78
1006,Royal Mist,Floral,Trial Pack,10,226,95,57.96,44
1007,Royal Mist,Floral,100ml Bottle,100,2457,810,67.03,71
1008,Citrus Rush,Oriental,Trial Pack,10,345,118,65.8,60
1009,Citrus Rush,Oriental,100ml Bottle,100,2202,499,77.34,80
1010,Ocean Noir,Fresh,Trial Pack,10,283,107,62.19,58
1011,Ocean Noir,Fresh,100ml Bottle,100,1988,744,62.58,91
1012,Saffron Nights,Aquatic,Trial Pack,10,211,94,55.45,51
1013,Saffron Nights,Aquatic,100ml Bottle,100,2726,694,74.54,92
1014,Golden Smoke,Aquatic,Trial Pack,10,224,118,47.32,62
1015,Golden Smoke,Aquatic,100ml Bottle,100,2409,855,64.51,81
1016,Forest Drift,Floral,Trial Pack,10,293,106,63.82,47
1017,Forest Drift,Floral,100ml Bottle,100,2231,535,76.02,73
1018,Amber Code,Woody,Trial Pack,10,242,113,53.31,52
1019,Amber Code,Woody,100ml Bottle,100,2594,711,72.59,77
1020,Silver Aura,Woody,Trial Pack,10,242,114,52.89,55
1021,Silver Aura,Woody,100ml Bottle,100,2104,792,62.36,76
1022,Crimson Spice,Citrus,Trial Pack,10,220,75,65.91,60
1023,Crimson Spice,Citrus,100ml Bottle,100,2394,520,78.28,82
1024,Moonlit Musk,Spicy,Trial Pack,10,293,108,63.14,49
1025,Moonlit Musk,Spicy,100ml Bottle,100,1968,892,54.67,80
1026,Frozen Sage,Floral,Trial Pack,10,290,88,69.66,59
1027,Frozen Sage,Floral,100ml Bottle,100,2316,646,72.11,78
1028,Velvet Bloom,Floral,Trial Pack,10,315,90,71.43,58
1029,Velvet Bloom,Floral,100ml Bottle,100,2763,770,72.13,87
1030,Date Night Collection,Curated Set,Gift Set,300,5079,2238,55.94,93
1031,Corporate Power Collection,Curated Set,Gift Set,300,6551,1239,81.09,90
1032,Wedding Vows Collection,Curated Set,Gift Set,300,4444,1773,60.1,87
1033,Festive Glow Collection,Curated Set,Gift Set,300,4506,1854,58.85,87
1034,Summer Escape Collection,Curated Set,Gift Set,300,4858,2000,58.83,86
